Timestamp,Product Name,Sale Price(USD),Original Price(USD),Model,SKU,Rating,Link
"2022-04-10, 00:46:58.061104","OtterBox - Defender Series Pro for Apple® iPad® Pro 11"" (3rd generation, 2nd generation, and 1st generation) - Black",89.95,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/otterbox-defender-series-pro-for-apple-ipad-pro-11-3rd-generation-2nd-generation-and-1st-generation-black/6453126.p?skuId=6453126
"2022-04-10, 00:46:58.062105","Apple - Magic Keyboard for 11-inch iPad Pro (1st, 2nd, or 3rd Generation) and iPad Air (4th, or 5th Generation) - White",299.00,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/apple-magic-keyboard-for-11-inch-ipad-pro-1st-2nd-or-3rd-generation-and-ipad-air-4th-or-5th-generation-white/6340387.p?skuId=6340387
"2022-04-10, 00:46:58.062606","Targus - VersaVu® Classic Case for iPad Air 10.9"" (5th/4th Gen)/ iPad Pro® 11-inch (2nd/1st Gen) - Black",54.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/targus-versavu-classic-case-for-ipad-air-10-9-5th-4th-gen-ipad-pro-11-inch-2nd-1st-gen-black/6430688.p?skuId=6430688
"2022-04-10, 00:46:58.063606","Targus - Pro-Tek™ Rotating Case for iPad Air 10.9"" (5th/4th Gen)/ iPad Pro® 11-inch 2nd Gen and 1st Gen - Black",44.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/targus-pro-tek-rotating-case-for-ipad-air-10-9-5th-4th-gen-ipad-pro-11-inch-2nd-gen-and-1st-gen-black/6430684.p?skuId=6430684
"2022-04-10, 00:46:58.064607","ZAGG - Pro Keys Wireless Keyboard & Detachable Case for Apple iPad Pro 11"" (1st Gen. 2018, 2nd Gen. 2020, 3rd Gen. 2021) - Black",90.99,109.99,103404717,6460191,4.0,https://www.bestbuy.com/site/zagg-pro-keys-wireless-keyboard-detachable-case-for-apple-ipad-pro-11-1st-gen-2018-2nd-gen-2020-3rd-gen-2021-black/6460191.p?skuId=6460191
"2022-04-10, 00:46:58.065108","SaharaCase - DEFENCE Series Case for Apple iPad Pro 11"" (3rd Generation 2021) - Black",59.99,No Sale,No Model,No SKU Found,5.0,https://www.bestbuy.com/site/saharacase-defence-series-case-for-apple-ipad-pro-11-3rd-generation-2021-black/6456552.p?skuId=6456552
"2022-04-10, 00:46:58.066108","SaharaCase - PROTECTION Hand Strap Series Case for Apple iPad Pro 11"" (3rd Generation 2021) - Black",59.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/saharacase-protection-hand-strap-series-case-for-apple-ipad-pro-11-3rd-generation-2021-black/6456515.p?skuId=6456515
"2022-04-10, 00:46:58.066609","SaharaCase - Keyboard Folio Case for Apple® iPad® Pro 11"" (3rd Generation 2021) - Black",99.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/saharacase-keyboard-folio-case-for-apple-ipad-pro-11-3rd-generation-2021-black/6456546.p?skuId=6456546
"2022-04-10, 00:46:58.067610","Insignia™ - Glass Screen Protector for Apple iPad Air 10.9"" (4th, or 5th Gen) and iPad Pro 11"" (1st, 2nd, 3rd or 4th Gen) - Clear",24.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/insignia-glass-screen-protector-for-apple-ipad-air-10-9-4th-or-5th-gen-and-ipad-pro-11-1st-2nd-3rd-or-4th-gen-clear/6441174.p?skuId=6441174
"2022-04-10, 00:46:58.068612","LAUT - HUEX Slim Folio Case for iPad Air 4 & iPad Pro 11"" - Sky blue",39.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/laut-huex-slim-folio-case-for-ipad-air-4-ipad-pro-11-sky-blue/6446486.p?skuId=6446486
"2022-04-10, 00:46:58.070112",Apple - Smart Folio for 11-inch iPad Pro (1st and 2nd Generation) - Black,67.99,Reg $79.00,MXT42ZM/A,6340359,4.0,https://www.bestbuy.com/site/apple-smart-folio-for-11-inch-ipad-pro-1st-and-2nd-generation-black/6340359.p?skuId=6340359
"2022-04-10, 00:46:58.070612","UAG - Lucent Case for iPad Pro 11"" 3rd Gen, iPad Air 4th/5th Gen - Black/ Ice",74.95,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/uag-lucent-case-for-ipad-pro-11-3rd-gen-ipad-air-4th-5th-gen-black-ice/6456191.p?skuId=6456191
"2022-04-10, 00:46:58.071613","Logitech - Slim Folio Pro Keyboard Case for Apple® iPad® Pro 11"" (1st, 2nd, and 3rd Gen) - Graphite",117.99,119.99,920-009682,6408696,4.0,https://www.bestbuy.com/site/logitech-slim-folio-pro-keyboard-case-for-apple-ipad-pro-11-1st-2nd-and-3rd-gen-graphite/6408696.p?skuId=6408696
"2022-04-10, 00:46:58.072614","SaharaCase - Hard Shell Case for Apple iPad Pro 11"" 2021 (Latest Version) - Black",29.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/saharacase-hard-shell-case-for-apple-ipad-pro-11-2021-latest-version-black/6456491.p?skuId=6456491
"2022-04-10, 00:46:58.074115","SaharaCase - ESR Folio Case for Apple iPad Pro 11"" (3rd Generation 2021) - Rose Gold",39.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/saharacase-esr-folio-case-for-apple-ipad-pro-11-3rd-generation-2021-rose-gold/6456559.p?skuId=6456559
